surface_temperature_k,h_gas_density_cm3,uv_flux_factor,gas_temperature_k,gas_flux_h_cm2_s,arrival_rate_per_site_s,sticking_probability,ct02_epsilon,ct02_h2_release_rate_cm2_s,h2_release_rate_cm2_s_mean,ratio_kmc_over_ct02,log10_ratio_kmc_over_ct02
10.0,10.0,0.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.9999999816994319,90603.2418657056,6615.366941871051,0.07301468253946712,-1.136589798719306
10.0,10.0,1.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.9999999816994319,90603.2418657056,6676.600861007637,0.07369052942833837,-1.1325883232847815
10.0,10.0,10.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.9999999816994319,90603.2418657056,6727.812970864351,0.07425576427868315,-1.1292698275695947
10.0,10.0,100.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.9999999816994319,90603.2418657056,6326.829353592539,0.06983005489991544,-1.1559576165194738
10.0,100.0,0.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.9999999811628594,906032.4181709039,67415.23331316767,0.07440708738575313,-1.1283856952884437
10.0,100.0,1.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.9999999811628594,906032.4181709039,69013.81278520117,0.0761714607569187,-1.1182077157655999
10.0,100.0,10.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.9999999811628594,906032.4181709039,65409.72608266234,0.07219358244897169,-1.1415014067360856
10.0,100.0,100.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.9999999811628594,906032.4181709039,67593.59282316154,0.07460394514317636,-1.1272382059239943
10.0,1000.0,0.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.9999999757971344,9060324.13309383,690294.5309988173,0.07618872358853483,-1.1181093022256425
10.0,1000.0,1.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.9999999757971344,9060324.13309383,674736.2264083913,0.07447153286093187,-1.1280097069033348
10.0,1000.0,10.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.9999999757971344,9060324.13309383,686855.6886100185,0.0758091739898358,-1.120278235369533
10.0,1000.0,100.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.9999999757971344,9060324.13309383,667976.1145521939,0.07372541034291893,-1.1323828015612516
10.0,10000.0,0.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.9999999221398878,90603236.46941772,6489293.5948501555,0.07162319854921029,-1.1449462881655823
10.0,10000.0,1.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.9999999221398878,90603236.46941772,6588044.474201956,0.07271312516993461,-1.138387189218184
10.0,10000.0,10.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.9999999221398878,90603236.46941772,6823995.999973807,0.07531735361658061,-1.1231049479478201
10.0,10000.0,100.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.9999999221398878,90603236.46941772,6803909.056926668,0.07509565134820834,-1.1243852114666484
20.0,10.0,0.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.9995983777193269,90566.85524249602,31986.01800119652,0.35317576077421264,-0.45200911065290905
20.0,10.0,1.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.9995983777193269,90566.85524249602,31917.604097208212,0.3524203640696994,-0.45293900449501795
20.0,10.0,10.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.9995983777193269,90566.85524249602,31589.08723897736,0.34879302316941935,-0.4574322107501537
20.0,10.0,100.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.9995983777193269,90566.85524249602,25577.235691090988,0.2824127615186264,-0.5491156825072807
20.0,100.0,0.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.9995983777193269,905668.5524249602,319859.6959998044,0.3531752263489425,-0.4520097678274584
20.0,100.0,1.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.9995983777193269,905668.5524249602,320035.08388013404,0.3533688820520803,-0.4517716974667607
20.0,100.0,10.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.9995983777193269,905668.5524249602,319275.87122991966,0.3525305923177381,-0.45280318931573643
20.0,100.0,100.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.9995983777193269,905668.5524249602,315890.3351324246,0.3487924299531179,-0.45743294938529916
20.0,1000.0,0.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.9995983777193262,9056685.524249597,3199744.187351755,0.35330189822582736,-0.45185402917486983
20.0,1000.0,1.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.9995983777193262,9056685.524249597,3187739.978581615,0.35197644547183715,-0.4534863988624475
20.0,1000.0,10.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.9995983777193262,9056685.524249597,3196033.419463021,0.3528921713032354,-0.4523579760903513
20.0,1000.0,100.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.9995983777193262,9056685.524249597,3193821.473045039,0.35264793775752384,-0.4526586515135421
20.0,10000.0,0.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.9995983777193203,90566855.24249542,31898670.727300107,0.3522113099973548,-0.4531967023421173
20.0,10000.0,1.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.9995983777193203,90566855.24249542,31923112.605675597,0.352481186635006,-0.4528640581297361
20.0,10000.0,10.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.9995983777193203,90566855.24249542,31896365.338274647,0.3521858548899726,-0.45322809092011906
20.0,10000.0,100.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.9995983777193203,90566855.24249542,31894898.275735214,0.35216965622065255,-0.4532480666073683
